Coverage iterations: 3

item_id		True Label
0		-1
1		-2
2		2
3		2
4		2
5		1
6		-2
7		-1
8		-1
9		-2
10		2
11		2
12		-1
13		1
14		-2
15		2
16		-1
17		2
18		1
19		-2
20		2
21		-2
22		2
23		-1
24		-2
25		-1
26		-2
27		2
28		1
29		1
30		2
31		2
32		2
33		-2
34		2
35		1
36		2
37		-1
38		2
39		-2
40		-1
41		2
42		2
43		1
44		-2
45		2
46		2
47		1
48		-1
49		1
50		2
51		2
52		1
53		1
54		-1
55		2
56		1
57		1
58		2
59		2
60		2
61		2
62		2
63		1
64		-2
65		-2
66		-2
67		2
68		-2
69		2
70		-2
71		2
72		1
73		-2
74		2
75		2
76		1
77		-2
78		2
79		2
80		2
81		-2
82		2
83		2
84		2
85		2
86		2
87		2
88		2
89		1
90		1
91		-1
92		-2
93		2
94		-1
95		2
96		2
97		-2
98		-2
99		2
100		-1
101		2
102		-2
103		2
104		2
105		1
106		2
107		-2
108		2
109		2
110		2
111		2
112		-2
113		-1
114		-2
115		2
116		-2
117		1
118		-2
119		2
120		2
121		2
122		2
123		-2
124		2
125		1
126		2
127		2
128		1
129		-2
130		2
131		-2
132		-1
133		2
134		2
135		-2
136		2
137		-2
138		2
139		-1
140		2
141		2
142		2
143		2
144		-1
145		-2
146		2
147		-1
148		1
149		2
150		-2
151		2
152		2
153		-2
154		2
155		-2
156		-1
157		-2
158		1
159		2
160		-1
161		-2
162		2
163		-1
164		1
165		-1
166		1
167		2
168		-1
169		-1
170		2
171		1
172		2
173		-2
174		2
175		-2
176		-2
177		1
178		2
179		2
180		-1
181		1
182		2
183		1
184		-2
185		-2
186		-2
187		1
188		-1
189		-1
190		-1
191		2
192		-1
193		1
194		1
195		1
196		-2
197		-1
198		-2
199		2
200		1
201		2
202		2
203		2
204		1
205		2
206		2
207		2
208		2
209		2
210		2
211		2
212		2
213		1
214		-1
215		-1
216		2
217		2
218		-1
219		2
220		2
221		1
222		2
223		1
224		1
225		1
226		-1
227		2
228		1
229		-2
230		-2
231		-2
232		-1
233		-1
234		-2
235		1
236		2
237		-1
238		1
239		-1
240		-1
241		2
242		-1
243		1
244		2
245		2
246		2
247		-2
248		1
249		-2
250		-2
251		2
252		1
253		1
254		1
255		-2
256		2
257		1
258		-2
259		2
260		-2
261		2
262		-1
263		1
264		-2
265		-1
266		1
267		-2
268		1
269		1
270		-1
271		-2
272		2
273		2
274		-2
275		1
276		1
277		2
278		2
279		-1
280		2
281		-1
282		-2
283		1
284		-1
285		1
286		2
287		2
288		-1
289		1
290		2
291		1
292		1
293		-1
294		2
295		1
296		1
297		2
298		1
299		-2
300		2
301		2
302		2
303		1
304		2
305		2
306		2
307		-1
308		1
309		2
310		2
311		2
312		2
313		1
314		2
315		-2
316		1
317		2
318		2
319		-2
320		-2
321		-2
322		2
323		-2
324		-1
325		-2
326		-1
327		1
328		-2
329		-2
330		1
331		2
332		1
333		1
334		2
335		2
336		-2
337		1
338		2
339		2
340		2
341		-2
342		2
343		2
344		2
345		1
346		-1
347		-2
348		-1
349		2
350		-1
351		-2
352		1
353		1
354		2
355		1
356		1
357		-1
358		-1
359		2
360		-2
361		2
362		-2
363		-1
364		-1
365		1
366		1
367		2
368		2
369		1
370		1
371		1
372		-2
373		1
374		1
375		2
376		2
377		-1
378		-2
379		1
380		-1
381		1
382		2
383		-2
384		-1
385		2
386		-2
387		2
388		1
389		1
390		2
391		-1
392		1
393		1
394		2
395		-1
396		-1
397		2
398		1
399		2
400		-1
401		2
402		2
403		2
404		-1
405		-1
406		1
407		-1
408		-2
409		2
410		-1
411		2
412		-2
413		-1
414		-2
415		1
416		2
417		2
418		2
419		-1
420		-1
421		2
422		2
423		2
424		1
425		-2
426		2
427		1
428		-2
429		-1
430		1
431		2
432		2
433		-2
434		2
435		2
436		2
437		2
438		2
439		1
440		2
441		-1
442		-1
443		2
444		-1
445		2
446		1
447		-1
448		2
449		-2
450		2
451		2
452		-2
453		2
454		-1
455		2
456		1
457		-1
458		2
459		2
460		2
461		2
462		-1
463		2
464		2
465		-2
466		-1
467		-2
468		-2
469		2
470		-1
471		1
472		2
473		1
474		2
475		2
476		2
477		1
478		1
479		-2
480		-1
481		2
482		2
483		-1
484		-2
485		-1
486		1
487		2
488		1
489		-1
490		-2
491		2
492		2
493		-1
494		2
495		1
496		1
497		2
498		2
499		2
500		-2
501		2
502		-1
503		1
504		2
505		2
506		1
507		2
508		2
509		2
510		-1
511		-1
512		1
513		2
514		2
515		1
516		1
517		1
518		-2
519		-2
520		2
521		-1
522		2
523		-2
524		-2
525		-2
526		2
527		-1
528		2
529		1
530		2
531		2
532		2
533		2
534		1
535		1
536		1
537		2
538		-2
539		2
540		-2
541		-2
542		2
543		2
544		-1
545		-2
546		2
547		-1
548		2
549		2
550		-1
551		-2
552		2
553		1
554		-2
555		2
556		1
557		-1
558		2
559		2
560		2
561		2
562		1
563		-1
564		-1
565		2
566		-2
567		1
568		2
569		2
570		-1
571		-2
572		-1
573		2
574		2
575		1
576		1
577		-1
578		-1
579		-2
580		-2
581		-1
582		1
583		2
584		1
585		-1
586		2
587		1
588		2
589		-1
590		2
591		-1
592		1
593		1
594		2
595		2
596		-2
597		-1
598		-2
599		2
600		1
601		1
602		-2
603		2
604		2
605		2
606		2
607		2
608		-2
609		-2
610		-1
611		2
612		-2
613		-2
614		-2
615		2
616		2
617		2
618		1
619		-2
620		-1
621		-1
622		2
623		-2
624		2
625		2
626		-2
627		2
628		2
629		-2
630		2
631		-2
632		-1
633		-1
634		2
635		1
636		1
637		2
638		-2
639		2
640		-2
641		1
642		-1
643		1
644		1
645		2
646		2
647		2
648		-1
649		2
650		-2
651		2
652		1
653		-1
654		2
655		-1
656		-1
657		2
658		1
659		1
660		-1
661		1
662		-1
663		2
664		-2
665		-1
666		-2
667		2
668		1
669		1
670		1
671		-2
672		2
673		2
674		-2
675		-1
676		-2
677		-2
678		-1
679		-2
680		2
681		-1
682		2
683		2
684		1
685		1
686		-2
687		-1
688		1
689		-2
690		1
691		-2
692		-2
693		-2
694		2
695		1
696		-1
697		2
698		-1
699		2
700		2
701		-1
702		2
703		-1
704		2
705		2
706		-1
707		2
708		2
709		-1
710		2
711		-2
712		2
713		-2
714		-1
715		2
716		-1
717		-2
718		2
719		2
720		2
721		2
722		-2
723		-2
724		-1
725		1
726		-1
727		2
728		2
729		-2
730		2
731		2
732		1
733		-1
734		1
735		-2
736		-2
737		-1
738		-2
739		-1
740		-1
741		2
742		2
743		2
744		-2
745		1
746		2
747		1
748		1
749		-1
750		2
751		1
752		1
753		-1
754		-1
755		1
756		2
757		-1
758		2
759		1
760		2
761		2
762		-1
763		1
764		-2
765		1
766		2
767		1
768		1
769		-2
770		1
771		1
772		1
773		-1
774		2
775		2
776		-2
777		2
778		1
779		1
780		-1
781		-2
782		-1
783		2
784		-2
785		1
786		1
787		-2
788		-1
789		2
790		-2
791		1
792		2
793		-2
794		2
795		2
796		1
797		1
798		1
799		-2
800		2
801		-2
802		1
803		2
804		-1
805		-1
806		-2
807		1
808		1
809		2
810		-2
811		-2
812		1
813		-2
814		-2
815		2
816		-2
817		1
818		1
819		1
820		-2
821		2
822		-1
823		2
824		-2
825		1
826		2
827		2
828		-1
829		1
830		1
831		1
832		1
833		2
834		2
835		-1
836		2
837		-2
838		2
839		1
840		-1
841		-2
842		2
843		2
844		-1
845		1
846		2
847		2
848		-1
849		1
850		2
851		-1
852		-2
853		1
854		-1
855		1
856		2
857		-2
858		2
859		-1
860		-1
861		1
862		1
863		2
864		-2
865		2
866		-1
867		2
868		1
869		2
870		2
871		-1
872		2
873		-1
874		-2
875		-2
